age_group,gender_encoded,marital_status_encoded,housing_status_encoded,income_category,customer_reference,annual_income_normalized,savings_balance_normalized,checking_balance_normalized,loan_amount_normalized,loan_duration_months,existing_credits,past_due_count,credit_history_score,debt_ratio,loan_purpose_car,loan_purpose_education,loan_purpose_health,loan_purpose_housing,loan_purpose_other,credit_risk_encoded,region_Assaba,region_Brakna,region_Gorgol,region_Guidimakha,region_Hodh Ech Chargui,region_Hodh El Gharbi,region_Inchiri,region_Nouadhibou,region_Nouakchott,region_Tagant,region_Trarza,education_level_master,education_level_phd,education_level_primary,education_level_secondary,employment_status_public_sector,employment_status_retired,employment_status_self_employed,employment_status_student,employment_status_unemployed
36-45,1,2,2,Élevé,USER0001,0.17455080593041414,1.0409537525611985,0.131305818724766,0.630590736356415,24,1,0,682,0.512,False,False,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
36-45,1,1,3,Élevé,USER0002,0.4298633482596559,0.08115053261750475,-1.2790190390774945,1.4872412667644366,24,0,0,594,0.693,False,False,False,True,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
26-35,0,1,3,Élevé,USER0003,0.4180441828426984,1.3215487806677997,-0.9781431387041025,-1.4616985360703716,36,0,0,642,0.283,False,False,True,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
46-55,0,0,3,Très bas,USER0004,-0.9848848579549747,-0.26690504246389724,0.04814007836896282,0.024276179934161847,24,1,1,521,1.043,True,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
46-55,1,1,2,Très bas,USER0005,-1.4210005342553966,-0.8045125200849186,-0.6673614729430208,-0.4942727534233599,12,1,1,669,1.8,False,True,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
36-45,1,1,0,Très bas,USER0006,-0.9539768458281451,-0.46016839329042464,-0.20736916289293425,-0.7614708197538551,60,2,0,535,0.497,True,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
36-45,0,1,2,Très élevé,USER0007,3.6566180854850248,1.040805755066373,-0.22165377461915853,-0.23549118861973242,24,1,0,556,0.221,False,False,False,False,False,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
26-35,1,2,2,Bas,USER0008,-0.26670273079443224,-0.01340671124328439,0.0952983777105525,-0.013644943016672552,24,0,0,482,0.603,False,True,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
36-45,1,3,0,Très élevé,USER0009,0.5548322836977151,1.5604578477318105,-1.2790190390774945,2.1887650726017958,36,0,2,496,0.793,False,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
46-55,1,1,0,Élevé,USER0010,-0.19749549007233735,0.04026869129680151,-1.1817336213848801,0.05958088276748522,6,0,0,526,0.532,False,False,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
